PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Landry Shamet,BKN,05/25/2021,BKN vs. BOS,W,25,10,0
Kyrie Irving,BKN,05/25/2021,BKN vs. BOS,W,28,15,19
Kyle Kuzma,LAL,05/25/2021,LAL @ PHX,W,20,2,-1
Kristaps Porzingis,DAL,05/25/2021,DAL @ LAC,W,32,20,10
Kevin Durant,BKN,05/25/2021,BKN vs. BOS,W,29,26,19
Kentavious Caldwell-Pope,LAL,05/25/2021,LAL @ PHX,W,31,0,19
Kemba Walker,BOS,05/25/2021,BOS @ BKN,L,30,17,-18
Kawhi Leonard,LAC,05/25/2021,LAC vs. DAL,L,41,41,-7
Josh Richardson,DAL,05/25/2021,DAL @ LAC,W,19,9,-10
Joe Harris,BKN,05/25/2021,BKN vs. BOS,W,29,25,29
Jeff Green,BKN,05/25/2021,BKN vs. BOS,W,12,6,8
Jayson Tatum,BOS,05/25/2021,BOS @ BKN,L,21,9,-28
James Harden,BKN,05/25/2021,BKN vs. BOS,W,27,20,31
Jalen Brunson,DAL,05/25/2021,DAL @ LAC,W,17,9,-7
Jae Crowder,PHX,05/25/2021,PHX vs. LAL,L,29,8,6
Jabari Parker,BOS,05/25/2021,BOS @ BKN,L,6,2,-5
Ivica Zubac,LAC,05/25/2021,LAC vs. DAL,L,22,2,-16
Grant Williams,BOS,05/25/2021,BOS @ BKN,L,12,5,5
Evan Fournier,BOS,05/25/2021,BOS @ BKN,L,27,16,-11
Dwight Powell,DAL,05/25/2021,DAL @ LAC,W,4,0,1
Dorian Finney-Smith,DAL,05/25/2021,DAL @ LAC,W,37,3,17
Devin Booker,PHX,05/25/2021,PHX vs. LAL,L,40,31,-16
Dennis Schroder,LAL,05/25/2021,LAL @ PHX,W,34,24,16
Deandre Ayton,PHX,05/25/2021,PHX vs. LAL,L,42,22,-5
Dario Saric,PHX,05/25/2021,PHX vs. LAL,L,15,2,-4
Chris Paul,PHX,05/25/2021,PHX vs. LAL,L,23,6,-2
Carsen Edwards,BOS,05/25/2021,BOS @ BKN,L,4,5,0
Cameron Payne,PHX,05/25/2021,PHX vs. LAL,L,33,19,3
Cameron Johnson,PHX,05/25/2021,PHX vs. LAL,L,27,6,-5
Bruce Brown,BKN,05/25/2021,BKN vs. BOS,W,22,6,-11
Blake Griffin,BKN,05/25/2021,BKN vs. BOS,W,20,11,18
Anthony Davis,LAL,05/25/2021,LAL @ PHX,W,40,34,6
Andre Drummond,LAL,05/25/2021,LAL @ PHX,W,24,15,5
Alize Johnson,BKN,05/25/2021,BKN vs. BOS,W,4,2,0
Alex Caruso,LAL,05/25/2021,LAL @ PHX,W,19,4,-8
Aaron Nesmith,BOS,05/25/2021,BOS @ BKN,L,19,0,-6
Zeke Nnaji,DEN,05/24/2021,DEN vs. POR,W,3,0,-2
Vlatko Cancar,DEN,05/24/2021,DEN vs. POR,W,3,0,-2
Tyler Herro,MIA,05/24/2021,MIA @ MIL,L,18,4,-6
Trevor Ariza,MIA,05/24/2021,MIA @ MIL,L,19,0,-25
T.J. Leaf,POR,05/24/2021,POR @ DEN,L,4,2,2
Shaquille Harrison,DEN,05/24/2021,DEN vs. POR,W,10,2,4
Sam Merrill,MIL,05/24/2021,MIL vs. MIA,W,7,3,3
Rondae Hollis-Jefferson,POR,05/24/2021,POR @ DEN,L,4,2,2
Robert Covington,POR,05/24/2021,POR @ DEN,L,37,3,-3
Precious Achiuwa,MIA,05/24/2021,MIA @ MIL,L,7,3,-3
Paul Millsap,DEN,05/24/2021,DEN vs. POR,W,15,15,8
Pat Connaughton,MIL,05/24/2021,MIL vs. MIA,W,19,15,4
P.J. Tucker,MIL,05/24/2021,MIL vs. MIA,W,17,3,7
Norman Powell,POR,05/24/2021,POR @ DEN,L,26,15,-26
Nikola Jokic,DEN,05/24/2021,DEN vs. POR,W,31,38,12
Nemanja Bjelica,MIA,05/24/2021,MIA @ MIL,L,12,4,-5
Nassir Little,POR,05/24/2021,POR @ DEN,L,4,3,2
Monte Morris,DEN,05/24/2021,DEN vs. POR,W,30,12,19
Michael Porter Jr.,DEN,05/24/2021,DEN vs. POR,W,33,18,19
Max Strus,MIA,05/24/2021,MIA @ MIL,L,5,0,-1
Markus Howard,DEN,05/24/2021,DEN vs. POR,W,15,5,1
Mamadi Diakite,MIL,05/24/2021,MIL vs. MIA,W,7,0,3
Khris Middleton,MIL,05/24/2021,MIL vs. MIA,W,24,17,28
Kendrick Nunn,MIA,05/24/2021,MIA @ MIL,L,25,9,-20
KZ Okpala,MIA,05/24/2021,MIA @ MIL,L,5,0,-1
Jusuf Nurkic,POR,05/24/2021,POR @ DEN,L,25,7,0
Jrue Holiday,MIL,05/24/2021,MIL vs. MIA,W,31,11,37
Jordan Nwora,MIL,05/24/2021,MIL vs. MIA,W,8,5,5
Jimmy Butler,MIA,05/24/2021,MIA @ MIL,L,32,10,-34
JaMychal Green,DEN,05/24/2021,DEN vs. POR,W,20,4,8
Harry Giles III,POR,05/24/2021,POR @ DEN,L,4,0,2
Goran Dragic,MIA,05/24/2021,MIA @ MIL,L,24,18,-9
Giannis Antetokounmpo,MIL,05/24/2021,MIL vs. MIA,W,31,31,19
Gabe Vincent,MIA,05/24/2021,MIA @ MIL,L,7,3,-5
Facundo Campazzo,DEN,05/24/2021,DEN vs. POR,W,30,12,11
Enes Freedom,POR,05/24/2021,POR @ DEN,L,18,4,-14
Elijah Bryant,MIL,05/24/2021,MIL vs. MIA,W,7,0,3
Duncan Robinson,MIA,05/24/2021,MIA @ MIL,L,23,10,-24
Donte DiVincenzo,MIL,05/24/2021,MIL vs. MIA,W,23,5,13
Dewayne Dedmon,MIA,05/24/2021,MIA @ MIL,L,21,19,-15
Derrick Jones Jr.,POR,05/24/2021,POR @ DEN,L,5,2,8
Damian Lillard,POR,05/24/2021,POR @ DEN,L,42,42,-16
Carmelo Anthony,POR,05/24/2021,POR @ DEN,L,21,5,-22
CJ McCollum,POR,05/24/2021,POR @ DEN,L,38,21,-23
CJ Elleby,POR,05/24/2021,POR @ DEN,L,4,0,2
Bryn Forbes,MIL,05/24/2021,MIL vs. MIA,W,20,22,16
Brook Lopez,MIL,05/24/2021,MIL vs. MIA,W,23,7,13
Bol Bol,DEN,05/24/2021,DEN vs. POR,W,2,0,-2
Bobby Portis,MIL,05/24/2021,MIL vs. MIA,W,18,11,18
Bam Adebayo,MIA,05/24/2021,MIA @ MIL,L,29,16,-18
Axel Toupane,MIL,05/24/2021,MIL vs. MIA,W,5,2,1
Austin Rivers,DEN,05/24/2021,DEN vs. POR,W,20,9,0
Anfernee Simons,POR,05/24/2021,POR @ DEN,L,10,3,-9
Andre Iguodala,MIA,05/24/2021,MIA @ MIL,L,14,2,-4
Aaron Gordon,DEN,05/24/2021,DEN vs. POR,W,28,13,19
Xavier Tillman Sr.,MEM,05/23/2021,MEM @ UTA,W,8,0,-10
Wesley Matthews,LAL,05/23/2021,LAL @ PHX,L,12,2,-7
Tyus Jones,MEM,05/23/2021,MEM @ UTA,W,12,6,-3
Tyrese Maxey,PHI,05/23/2021,PHI vs. WAS,W,7,3,-1
Trae Young,ATL,05/23/2021,ATL @ NYK,W,35,32,0
Torrey Craig,PHX,05/23/2021,PHX vs. LAL,W,3,0,1
Tony Snell,ATL,05/23/2021,ATL @ NYK,W,13,3,-8
Tobias Harris,PHI,05/23/2021,PHI vs. WAS,W,37,37,2
Talen Horton-Tucker,LAL,05/23/2021,LAL @ PHX,L,7,2,1
Taj Gibson,NYK,05/23/2021,NYK vs. ATL,L,24,5,1
Shake Milton,PHI,05/23/2021,PHI vs. WAS,W,10,5,-14
Seth Curry,PHI,05/23/2021,PHI vs. WAS,W,32,15,11
Russell Westbrook,WAS,05/23/2021,WAS @ PHI,L,43,16,-9
Rui Hachimura,WAS,05/23/2021,WAS @ PHI,L,36,12,-19
Rudy Gobert,UTA,05/23/2021,UTA vs. MEM,L,25,11,9
Royce O'Neale,UTA,05/23/2021,UTA vs. MEM,L,37,3,-13
Robin Lopez,WAS,05/23/2021,WAS @ PHI,L,12,6,-5
Reggie Bullock,NYK,05/23/2021,NYK vs. ATL,L,19,6,-14
Raul Neto,WAS,05/23/2021,WAS @ PHI,L,22,7,-14
RJ Barrett,NYK,05/23/2021,NYK vs. ATL,L,32,14,-5
Onyeka Okongwu,ATL,05/23/2021,ATL @ NYK,W,3,0,-3
Obi Toppin,NYK,05/23/2021,NYK vs. ATL,L,12,5,3
Nerlens Noel,NYK,05/23/2021,NYK vs. ATL,L,24,6,-3
Montrezl Harrell,LAL,05/23/2021,LAL @ PHX,L,15,12,2
Miye Oni,UTA,05/23/2021,UTA vs. MEM,L,10,0,5
Mike Conley,UTA,05/23/2021,UTA vs. MEM,L,33,22,11
Mikal Bridges,PHX,05/23/2021,PHX vs. LAL,W,41,10,9
Matisse Thybulle,PHI,05/23/2021,PHI vs. WAS,W,14,0,-5
Lou Williams,ATL,05/23/2021,ATL @ NYK,W,13,13,2
LeBron James,LAL,05/23/2021,LAL @ PHX,L,36,18,2
Kyle Kuzma,LAL,05/23/2021,LAL @ PHX,L,19,0,-5
Kyle Anderson,MEM,05/23/2021,MEM @ UTA,W,31,14,9
Kevin Huerter,ATL,05/23/2021,ATL @ NYK,W,27,8,2
Kentavious Caldwell-Pope,LAL,05/23/2021,LAL @ PHX,L,35,7,-9
Julius Randle,NYK,05/23/2021,NYK vs. ATL,L,36,15,-5
Jordan Clarkson,UTA,05/23/2021,UTA vs. MEM,L,30,14,-1
Jonas Valanciunas,MEM,05/23/2021,MEM @ UTA,W,39,15,15
John Collins,ATL,05/23/2021,ATL @ NYK,W,35,12,3
Joel Embiid,PHI,05/23/2021,PHI vs. WAS,W,30,30,20
Joe Ingles,UTA,05/23/2021,UTA vs. MEM,L,33,11,-14
Jaren Jackson Jr.,MEM,05/23/2021,MEM @ UTA,W,24,7,-19
Jae Crowder,PHX,05/23/2021,PHX vs. LAL,W,29,8,14
Ja Morant,MEM,05/23/2021,MEM @ UTA,W,36,26,6
Ish Smith,WAS,05/23/2021,WAS @ PHI,L,23,6,9
Immanuel Quickley,NYK,05/23/2021,NYK vs. ATL,L,21,10,6
Grayson Allen,MEM,05/23/2021,MEM @ UTA,W,23,5,-10
Georges Niang,UTA,05/23/2021,UTA vs. MEM,L,16,7,11
George Hill,PHI,05/23/2021,PHI vs. WAS,W,18,11,-1
Furkan Korkmaz,PHI,05/23/2021,PHI vs. WAS,W,5,0,3
Frank Ntilikina,NYK,05/23/2021,NYK vs. ATL,L,1,0,-2
Elfrid Payton,NYK,05/23/2021,NYK vs. ATL,L,8,0,-2
E'Twaun Moore,PHX,05/23/2021,PHX vs. LAL,W,2,0,6
Dwight Howard,PHI,05/23/2021,PHI vs. WAS,W,18,7,-13
Dillon Brooks,MEM,05/23/2021,MEM @ UTA,W,36,31,14
Devin Booker,PHX,05/23/2021,PHX vs. LAL,W,45,34,9
Desmond Bane,MEM,05/23/2021,MEM @ UTA,W,18,8,23
Derrick Rose,NYK,05/23/2021,NYK vs. ATL,L,38,17,3
Derrick Favors,UTA,05/23/2021,UTA vs. MEM,L,23,12,-12
Dennis Schroder,LAL,05/23/2021,LAL @ PHX,L,34,14,-8
Deandre Ayton,PHX,05/23/2021,PHX vs. LAL,W,37,21,16
De'Anthony Melton,MEM,05/23/2021,MEM @ UTA,W,13,0,-10
De'Andre Hunter,ATL,05/23/2021,ATL @ NYK,W,22,5,-7
Davis Bertans,WAS,05/23/2021,WAS @ PHI,L,28,14,9
Dario Saric,PHX,05/23/2021,PHX vs. LAL,W,11,4,-7
Danny Green,PHI,05/23/2021,PHI vs. WAS,W,31,11,15
Danilo Gallinari,ATL,05/23/2021,ATL @ NYK,W,24,7,-4
Daniel Gafford,WAS,05/23/2021,WAS @ PHI,L,20,12,14
Clint Capela,ATL,05/23/2021,ATL @ NYK,W,35,9,8
Chris Paul,PHX,05/23/2021,PHX vs. LAL,W,36,7,6
Cameron Payne,PHX,05/23/2021,PHX vs. LAL,W,13,5,-3
Cameron Johnson,PHX,05/23/2021,PHX vs. LAL,W,23,10,-6
Bradley Beal,WAS,05/23/2021,WAS @ PHI,L,41,33,-4
Bojan Bogdanovic,UTA,05/23/2021,UTA vs. MEM,L,33,29,-11
Bogdan Bogdanovic,ATL,05/23/2021,ATL @ NYK,W,34,18,17
Ben Simmons,PHI,05/23/2021,PHI vs. WAS,W,38,6,18
Anthony Davis,LAL,05/23/2021,LAL @ PHX,L,39,13,-18
Andre Drummond,LAL,05/23/2021,LAL @ PHX,L,19,12,-4
Alex Len,WAS,05/23/2021,WAS @ PHI,L,16,12,-16
Alex Caruso,LAL,05/23/2021,LAL @ PHX,L,24,10,1
Alec Burks,NYK,05/23/2021,NYK vs. ATL,L,26,27,8
Willie Cauley-Stein,DAL,05/22/2021,DAL @ LAC,W,4,0,-4
Tyler Herro,MIA,05/22/2021,MIA @ MIL,L,19,10,1
Tristan Thompson,BOS,05/22/2021,BOS @ BKN,L,25,4,-16
Trevor Ariza,MIA,05/22/2021,MIA @ MIL,L,38,8,-7
Tremont Waters,BOS,05/22/2021,BOS @ BKN,L,1,0,0
Tim Hardaway Jr.,DAL,05/22/2021,DAL @ LAC,W,32,21,16
Terance Mann,LAC,05/22/2021,LAC vs. DAL,L,0,0,-2
Serge Ibaka,LAC,05/22/2021,LAC vs. DAL,L,13,8,11
Robert Williams III,BOS,05/22/2021,BOS @ BKN,L,23,11,5
Robert Covington,POR,05/22/2021,POR @ DEN,W,34,8,21
Reggie Jackson,LAC,05/22/2021,LAC vs. DAL,L,21,2,13
Rajon Rondo,LAC,05/22/2021,LAC vs. DAL,L,24,11,-8
Payton Pritchard,BOS,05/22/2021,BOS @ BKN,L,7,0,0
Paul Millsap,DEN,05/22/2021,DEN vs. POR,L,15,3,1
Paul George,LAC,05/22/2021,LAC vs. DAL,L,40,23,-6
Patrick Beverley,LAC,05/22/2021,LAC vs. DAL,L,17,10,-13
Pat Connaughton,MIL,05/22/2021,MIL vs. MIA,W,10,2,-8
P.J. Tucker,MIL,05/22/2021,MIL vs. MIA,W,18,0,8
Norman Powell,POR,05/22/2021,POR @ DEN,W,37,10,-5
Nikola Jokic,DEN,05/22/2021,DEN vs. POR,L,35,34,-13
Nicolo Melli,DAL,05/22/2021,DAL @ LAC,W,9,0,-8
Nicolas Batum,LAC,05/22/2021,LAC vs. DAL,L,32,11,6
Nic Claxton,BKN,05/22/2021,BKN vs. BOS,W,11,6,0
Monte Morris,DEN,05/22/2021,DEN vs. POR,L,22,10,-7
Michael Porter Jr.,DEN,05/22/2021,DEN vs. POR,L,37,25,-6
Maxi Kleber,DAL,05/22/2021,DAL @ LAC,W,36,6,9
Markus Howard,DEN,05/22/2021,DEN vs. POR,L,20,7,-4
Marcus Smart,BOS,05/22/2021,BOS @ BKN,L,40,17,-9
Marcus Morris Sr.,LAC,05/22/2021,LAC vs. DAL,L,33,4,-23
Luka Doncic,DAL,05/22/2021,DAL @ LAC,W,41,31,19
Landry Shamet,BKN,05/22/2021,BKN vs. BOS,W,14,0,-14
Kyrie Irving,BKN,05/22/2021,BKN vs. BOS,W,37,29,16
Kristaps Porzingis,DAL,05/22/2021,DAL @ LAC,W,36,14,13
Khris Middleton,MIL,05/22/2021,MIL vs. MIA,W,45,27,0
Kevin Durant,BKN,05/22/2021,BKN vs. BOS,W,39,32,8
Kendrick Nunn,MIA,05/22/2021,MIA @ MIL,L,23,10,3
Kemba Walker,BOS,05/22/2021,BOS @ BKN,L,27,15,-21
Kawhi Leonard,LAC,05/22/2021,LAC vs. DAL,L,41,26,-15
Jusuf Nurkic,POR,05/22/2021,POR @ DEN,W,33,16,12
Jrue Holiday,MIL,05/22/2021,MIL vs. MIA,W,42,20,10
Josh Richardson,DAL,05/22/2021,DAL @ LAC,W,17,8,0
Joe Harris,BKN,05/22/2021,BKN vs. BOS,W,37,10,22
Jimmy Butler,MIA,05/22/2021,MIA @ MIL,L,46,17,-8
Jeff Green,BKN,05/22/2021,BKN vs. BOS,W,27,3,14
Jayson Tatum,BOS,05/22/2021,BOS @ BKN,L,41,22,-8
James Harden,BKN,05/22/2021,BKN vs. BOS,W,36,21,2
Jalen Brunson,DAL,05/22/2021,DAL @ LAC,W,21,15,-9
Jabari Parker,BOS,05/22/2021,BOS @ BKN,L,22,9,7
JaMychal Green,DEN,05/22/2021,DEN vs. POR,L,18,0,-6
Ivica Zubac,LAC,05/22/2021,LAC vs. DAL,L,19,8,-13
Grant Williams,BOS,05/22/2021,BOS @ BKN,L,1,0,0
Goran Dragic,MIA,05/22/2021,MIA @ MIL,L,35,25,0
Giannis Antetokounmpo,MIL,05/22/2021,MIL vs. MIA,W,45,26,2
Facundo Campazzo,DEN,05/22/2021,DEN vs. POR,L,32,8,-13
Evan Fournier,BOS,05/22/2021,BOS @ BKN,L,39,10,-14
Enes Freedom,POR,05/22/2021,POR @ DEN,W,15,2,2
Dwight Powell,DAL,05/22/2021,DAL @ LAC,W,7,0,-1
Duncan Robinson,MIA,05/22/2021,MIA @ MIL,L,36,24,2
Dorian Finney-Smith,DAL,05/22/2021,DAL @ LAC,W,37,18,15
Donte DiVincenzo,MIL,05/22/2021,MIL vs. MIA,W,37,3,-6
Dewayne Dedmon,MIA,05/22/2021,MIA @ MIL,L,12,2,-7
Damian Lillard,POR,05/22/2021,POR @ DEN,W,40,34,25
Carmelo Anthony,POR,05/22/2021,POR @ DEN,W,22,18,6
CJ McCollum,POR,05/22/2021,POR @ DEN,W,36,21,3
Bryn Forbes,MIL,05/22/2021,MIL vs. MIA,W,14,5,2
Bruce Brown,BKN,05/22/2021,BKN vs. BOS,W,18,2,6
Brook Lopez,MIL,05/22/2021,MIL vs. MIA,W,36,18,6
Bobby Portis,MIL,05/22/2021,MIL vs. MIA,W,17,8,-4
Blake Griffin,BKN,05/22/2021,BKN vs. BOS,W,20,1,1
Bam Adebayo,MIA,05/22/2021,MIA @ MIL,L,41,9,5
Austin Rivers,DEN,05/22/2021,DEN vs. POR,L,33,6,-12
Anfernee Simons,POR,05/22/2021,POR @ DEN,W,23,14,6
Andre Iguodala,MIA,05/22/2021,MIA @ MIL,L,15,2,1
Aaron Nesmith,BOS,05/22/2021,BOS @ BKN,L,17,5,1
Aaron Gordon,DEN,05/22/2021,DEN vs. POR,L,28,16,-10
Xavier Tillman Sr.,MEM,05/21/2021,MEM @ GSW,W,23,11,-7
Tyus Jones,MEM,05/21/2021,MEM @ GSW,W,7,2,6
Stephen Curry,GSW,05/21/2021,GSW vs. MEM,L,47,39,4
Mychal Mulder,GSW,05/21/2021,GSW vs. MEM,L,9,4,-14
Kyle Anderson,MEM,05/21/2021,MEM @ GSW,W,39,9,11
Kevon Looney,GSW,05/21/2021,GSW vs. MEM,L,24,3,-15
Kent Bazemore,GSW,05/21/2021,GSW vs. MEM,L,26,10,-10
Juan Toscano-Anderson,GSW,05/21/2021,GSW vs. MEM,L,32,4,11
Jordan Poole,GSW,05/21/2021,GSW vs. MEM,L,38,19,9
Jonas Valanciunas,MEM,05/21/2021,MEM @ GSW,W,26,9,7
Jaren Jackson Jr.,MEM,05/21/2021,MEM @ GSW,W,15,10,1
Ja Morant,MEM,05/21/2021,MEM @ GSW,W,46,35,-1
Grayson Allen,MEM,05/21/2021,MEM @ GSW,W,25,12,17
Draymond Green,GSW,05/21/2021,GSW vs. MEM,L,45,11,-2
Dillon Brooks,MEM,05/21/2021,MEM @ GSW,W,45,14,-1
Desmond Bane,MEM,05/21/2021,MEM @ GSW,W,29,10,-13
De'Anthony Melton,MEM,05/21/2021,MEM @ GSW,W,10,5,5
Andrew Wiggins,GSW,05/21/2021,GSW vs. MEM,L,44,22,-8
T.J. McConnell,IND,05/20/2021,IND @ WAS,L,22,4,-23
Russell Westbrook,WAS,05/20/2021,WAS vs. IND,W,33,18,30
Rui Hachimura,WAS,05/20/2021,WAS vs. IND,W,25,18,14
Robin Lopez,WAS,05/20/2021,WAS vs. IND,W,6,9,7
Raul Neto,WAS,05/20/2021,WAS vs. IND,W,26,14,17
Oshae Brissett,IND,05/20/2021,IND @ WAS,L,29,10,-17
Malcolm Brogdon,IND,05/20/2021,IND @ WAS,L,29,24,-25
Kelan Martin,IND,05/20/2021,IND @ WAS,L,23,13,-13
Justin Holiday,IND,05/20/2021,IND @ WAS,L,25,6,-14
Ish Smith,WAS,05/20/2021,WAS vs. IND,W,22,8,26
Isaac Bonga,WAS,05/20/2021,WAS vs. IND,W,5,3,-8
Goga Bitadze,IND,05/20/2021,IND @ WAS,L,17,0,-13
Garrison Mathews,WAS,05/20/2021,WAS vs. IND,W,8,3,-8
Edmond Sumner,IND,05/20/2021,IND @ WAS,L,13,5,-17
Doug McDermott,IND,05/20/2021,IND @ WAS,L,24,13,-14
Domantas Sabonis,IND,05/20/2021,IND @ WAS,L,32,19,-18
Davis Bertans,WAS,05/20/2021,WAS vs. IND,W,19,9,19
Daniel Gafford,WAS,05/20/2021,WAS vs. IND,W,22,15,17
Chandler Hutchison,WAS,05/20/2021,WAS vs. IND,W,20,6,8
Cassius Winston,WAS,05/20/2021,WAS vs. IND,W,5,0,-8
Cassius Stanley,IND,05/20/2021,IND @ WAS,L,8,11,8
Bradley Beal,WAS,05/20/2021,WAS vs. IND,W,28,25,18
Anthony Gill,WAS,05/20/2021,WAS vs. IND,W,6,10,-8
Amida Brimah,IND,05/20/2021,IND @ WAS,L,5,3,8
Alex Len,WAS,05/20/2021,WAS vs. IND,W,13,4,11
Aaron Holiday,IND,05/20/2021,IND @ WAS,L,12,7,3
Xavier Tillman Sr.,MEM,05/19/2021,MEM vs. SAS,W,10,0,-22
Wesley Matthews,LAL,05/19/2021,LAL vs. GSW,W,14,3,17
Tyus Jones,MEM,05/19/2021,MEM vs. SAS,W,7,5,-16
Talen Horton-Tucker,LAL,05/19/2021,LAL vs. GSW,W,6,3,1
Stephen Curry,GSW,05/19/2021,GSW @ LAL,L,41,37,4
Rudy Gay,SAS,05/19/2021,SAS @ MEM,L,27,20,6
Patty Mills,SAS,05/19/2021,SAS @ MEM,L,30,9,18
Mychal Mulder,GSW,05/19/2021,GSW @ LAL,L,22,5,0
Montrezl Harrell,LAL,05/19/2021,LAL vs. GSW,W,10,4,-2
Lonnie Walker IV,SAS,05/19/2021,SAS @ MEM,L,17,8,-23
LeBron James,LAL,05/19/2021,LAL vs. GSW,W,35,22,13
Kyle Kuzma,LAL,05/19/2021,LAL vs. GSW,W,23,6,8
Kyle Anderson,MEM,05/19/2021,MEM vs. SAS,W,32,9,7
Kevon Looney,GSW,05/19/2021,GSW @ LAL,L,20,6,-1
Kentavious Caldwell-Pope,LAL,05/19/2021,LAL vs. GSW,W,33,10,-6
Kent Bazemore,GSW,05/19/2021,GSW @ LAL,L,25,10,-8
Keldon Johnson,SAS,05/19/2021,SAS @ MEM,L,31,11,-9
Juan Toscano-Anderson,GSW,05/19/2021,GSW @ LAL,L,26,9,-7
Jordan Poole,GSW,05/19/2021,GSW @ LAL,L,26,10,-4
Jonas Valanciunas,MEM,05/19/2021,MEM vs. SAS,W,38,23,26
Jaren Jackson Jr.,MEM,05/19/2021,MEM vs. SAS,W,31,10,17
Jakob Poeltl,SAS,05/19/2021,SAS @ MEM,L,32,10,-10
Ja Morant,MEM,05/19/2021,MEM vs. SAS,W,41,20,20
Grayson Allen,MEM,05/19/2021,MEM vs. SAS,W,5,0,-17
Gorgui Dieng,SAS,05/19/2021,SAS @ MEM,L,13,6,10
Drew Eubanks,SAS,05/19/2021,SAS @ MEM,L,3,0,-4
Draymond Green,GSW,05/19/2021,GSW @ LAL,L,41,2,0
Dillon Brooks,MEM,05/19/2021,MEM vs. SAS,W,40,24,14
Devin Vassell,SAS,05/19/2021,SAS @ MEM,L,10,2,2
Desmond Bane,MEM,05/19/2021,MEM vs. SAS,W,25,7,4
Dennis Schroder,LAL,05/19/2021,LAL vs. GSW,W,30,12,-21
Dejounte Murray,SAS,05/19/2021,SAS @ MEM,L,39,10,1
DeMar DeRozan,SAS,05/19/2021,SAS @ MEM,L,38,20,-11
De'Anthony Melton,MEM,05/19/2021,MEM vs. SAS,W,12,2,-13
Anthony Davis,LAL,05/19/2021,LAL vs. GSW,W,42,25,2
Andrew Wiggins,GSW,05/19/2021,GSW @ LAL,L,39,21,1
Andre Drummond,LAL,05/19/2021,LAL vs. GSW,W,17,4,-1
Alex Caruso,LAL,05/19/2021,LAL vs. GSW,W,30,14,4
Vernon Carey Jr.,CHA,05/18/2021,CHA @ IND,L,6,0,6
Tristan Thompson,BOS,05/18/2021,BOS vs. WAS,W,30,12,15
Tremont Waters,BOS,05/18/2021,BOS vs. WAS,W,2,0,-2
Terry Rozier,CHA,05/18/2021,CHA @ IND,L,35,16,-32
T.J. McConnell,IND,05/18/2021,IND vs. CHA,W,25,17,13
Semi Ojeleye,BOS,05/18/2021,BOS vs. WAS,W,8,0,-6
Russell Westbrook,WAS,05/18/2021,WAS @ BOS,L,37,20,-19
Rui Hachimura,WAS,05/18/2021,WAS @ BOS,L,17,8,-9
Romeo Langford,BOS,05/18/2021,BOS vs. WAS,W,14,3,4
Robin Lopez,WAS,05/18/2021,WAS @ BOS,L,16,5,6
Robert Williams III,BOS,05/18/2021,BOS vs. WAS,W,14,4,8
Raul Neto,WAS,05/18/2021,WAS @ BOS,L,17,0,-14
Payton Pritchard,BOS,05/18/2021,BOS vs. WAS,W,5,0,-1
P.J. Washington,CHA,05/18/2021,CHA @ IND,L,30,8,-26
Oshae Brissett,IND,05/18/2021,IND vs. CHA,W,33,23,27
Nick Richards,CHA,05/18/2021,CHA @ IND,L,4,4,7
Nate Darling,CHA,05/18/2021,CHA @ IND,L,4,2,7
Miles Bridges,CHA,05/18/2021,CHA @ IND,L,37,23,-25
Marcus Smart,BOS,05/18/2021,BOS vs. WAS,W,35,7,23
Malik Monk,CHA,05/18/2021,CHA @ IND,L,19,13,-12
Malcolm Brogdon,IND,05/18/2021,IND vs. CHA,W,21,16,18
Luke Kornet,BOS,05/18/2021,BOS vs. WAS,W,4,0,-5
LaMelo Ball,CHA,05/18/2021,CHA @ IND,L,27,14,-35
Kemba Walker,BOS,05/18/2021,BOS vs. WAS,W,34,29,17
Kelan Martin,IND,05/18/2021,IND vs. CHA,W,20,14,13
Justin Holiday,IND,05/18/2021,IND vs. CHA,W,26,12,26
Jayson Tatum,BOS,05/18/2021,BOS vs. WAS,W,41,50,25
Jalen McDaniels,CHA,05/18/2021,CHA @ IND,L,16,5,-8
JaKarr Sampson,IND,05/18/2021,IND vs. CHA,W,7,0,-6
Ish Smith,WAS,05/18/2021,WAS @ BOS,L,26,17,5
Grant Williams,BOS,05/18/2021,BOS vs. WAS,W,2,0,-2
Grant Riller,CHA,05/18/2021,CHA @ IND,L,4,3,7
Goga Bitadze,IND,05/18/2021,IND vs. CHA,W,19,14,-1
Garrison Mathews,WAS,05/18/2021,WAS @ BOS,L,12,3,1
Evan Fournier,BOS,05/18/2021,BOS vs. WAS,W,36,8,20
Edmond Sumner,IND,05/18/2021,IND vs. CHA,W,7,7,5
Doug McDermott,IND,05/18/2021,IND vs. CHA,W,26,21,20
Domantas Sabonis,IND,05/18/2021,IND vs. CHA,W,33,14,27
Devonte' Graham,CHA,05/18/2021,CHA @ IND,L,20,4,-3
Davis Bertans,WAS,05/18/2021,WAS @ BOS,L,33,4,-23
Daniel Gafford,WAS,05/18/2021,WAS @ BOS,L,21,12,-9
Cody Zeller,CHA,05/18/2021,CHA @ IND,L,28,17,-20
Chandler Hutchison,WAS,05/18/2021,WAS @ BOS,L,10,2,3
Cassius Winston,WAS,05/18/2021,WAS @ BOS,L,2,0,2
Cassius Stanley,IND,05/18/2021,IND vs. CHA,W,5,4,-5
