TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
UTA,11/14/2018,UTA @ DAL,L,243,68,25,81,30.9,6,35,17.1,12,19,63.2,8,25,33,16,11,3,21,21,-50
MEM,11/14/2018,MEM @ MIL,W,241,116,42,83,50.6,14,36,38.9,18,24,75,4,30,34,24,8,4,12,20,3
SAS,11/14/2018,SAS @ PHX,L,240,96,35,83,42.2,7,23,30.4,19,24,79.2,13,30,43,16,7,4,18,12,-20
LAL,11/14/2018,LAL vs. POR,W,240,126,44,93,47.3,15,32,46.9,23,26,88.5,11,37,48,25,11,6,13,18,9
ORL,11/14/2018,ORL vs. PHI,W,241,111,40,80,50,12,28,42.9,19,22,86.4,5,32,37,23,7,4,10,21,5
MIA,11/14/2018,MIA @ BKN,W,241,120,46,85,54.1,8,29,27.6,20,28,71.4,6,41,47,23,6,6,17,27,13
NYK,11/14/2018,NYK @ OKC,L,238,103,39,88,44.3,7,26,26.9,18,23,78.3,9,27,36,18,8,8,18,17,-25
BOS,11/14/2018,BOS vs. CHI,W,241,111,42,90,46.7,15,34,44.1,12,14,85.7,8,43,51,27,12,5,13,12,29
PHI,11/14/2018,PHI @ ORL,L,239,106,41,86,47.7,14,29,48.3,10,15,66.7,10,31,41,32,2,3,14,21,-5
POR,11/14/2018,POR @ LAL,L,239,117,41,93,44.1,14,33,42.4,21,23,91.3,11,36,47,24,8,10,14,21,-9
TOR,11/14/2018,TOR vs. DET,L,240,104,45,92,48.9,4,20,20,10,17,58.8,12,37,49,23,9,3,20,19,-2
MIL,11/14/2018,MIL vs. MEM,L,239,113,41,81,50.6,9,35,25.7,22,27,81.5,9,35,44,22,5,8,16,22,-3
WAS,11/14/2018,WAS vs. CLE,W,239,119,44,92,47.8,13,40,32.5,18,26,69.2,12,32,44,30,17,3,18,25,24
