PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Caleb Martin,MIA,05/21/2022,MIA @ BOS,W,10,8,-5
Gabe Vincent,MIA,05/21/2022,MIA @ BOS,W,19,3,-2
Max Strus,MIA,05/21/2022,MIA @ BOS,W,34,16,-1
Tyler Herro,MIA,05/21/2022,MIA @ BOS,W,20,8,2
Juwan Morgan,BOS,05/21/2022,BOS vs. MIA,L,0,0,1
Stephen Curry,GSW,05/20/2022,GSW vs. DAL,W,37,32,15
Draymond Green,GSW,05/20/2022,GSW vs. DAL,W,28,6,-19
Dwight Powell,DAL,05/20/2022,DAL @ GSW,L,8,0,4
Andrew Wiggins,GSW,05/20/2022,GSW vs. DAL,W,38,16,16
Damion Lee,GSW,05/20/2022,GSW vs. DAL,W,5,0,-12
Frank Ntilikina,DAL,05/20/2022,DAL @ GSW,L,4,0,-10
Maxi Kleber,DAL,05/20/2022,DAL @ GSW,L,33,3,-20
Luka Doncic,DAL,05/20/2022,DAL @ GSW,L,38,42,-12
Josh Green,DAL,05/20/2022,DAL @ GSW,L,5,0,-1
Reggie Bullock,DAL,05/20/2022,DAL @ GSW,L,44,21,-7
Spencer Dinwiddie,DAL,05/20/2022,DAL @ GSW,L,22,4,-8
Dorian Finney-Smith,DAL,05/20/2022,DAL @ GSW,L,42,10,0
Jalen Brunson,DAL,05/20/2022,DAL @ GSW,L,36,31,2
Klay Thompson,GSW,05/20/2022,GSW vs. DAL,W,37,15,-9
Otto Porter Jr.,GSW,05/20/2022,GSW vs. DAL,W,24,11,11
Kevon Looney,GSW,05/20/2022,GSW vs. DAL,W,32,21,9
Jordan Poole,GSW,05/20/2022,GSW vs. DAL,W,29,23,26
Moses Moody,GSW,05/20/2022,GSW vs. DAL,W,10,2,8
Davis Bertans,DAL,05/20/2022,DAL @ GSW,L,7,6,7
P.J. Tucker,MIA,05/19/2022,MIA vs. BOS,L,22,5,-10
Jimmy Butler,MIA,05/19/2022,MIA vs. BOS,L,32,29,-20
Victor Oladipo,MIA,05/19/2022,MIA vs. BOS,L,26,14,-15
Nik Stauskas,BOS,05/19/2022,BOS @ MIA,W,4,3,-3
Jayson Tatum,BOS,05/19/2022,BOS @ MIA,W,32,27,13
Bam Adebayo,MIA,05/19/2022,MIA vs. BOS,L,29,6,-5
Luke Kornet,BOS,05/19/2022,BOS @ MIA,W,5,2,-9
Daniel Theis,BOS,05/19/2022,BOS @ MIA,W,6,2,-7
Caleb Martin,MIA,05/19/2022,MIA vs. BOS,L,18,7,-13
Robert Williams III,BOS,05/19/2022,BOS @ MIA,W,20,5,13
Duncan Robinson,MIA,05/19/2022,MIA vs. BOS,L,14,6,-6
Gabe Vincent,MIA,05/19/2022,MIA vs. BOS,L,24,14,-3
Haywood Highsmith,MIA,05/19/2022,MIA vs. BOS,L,6,0,5
Max Strus,MIA,05/19/2022,MIA vs. BOS,L,26,6,-5
Juwan Morgan,BOS,05/19/2022,BOS @ MIA,W,5,1,-9
Aaron Nesmith,BOS,05/19/2022,BOS @ MIA,W,7,0,-9
Omer Yurtseven,MIA,05/19/2022,MIA vs. BOS,L,6,2,7
Al Horford,BOS,05/19/2022,BOS @ MIA,W,33,10,16
Marcus Smart,BOS,05/19/2022,BOS @ MIA,W,40,24,31
Jaylen Brown,BOS,05/19/2022,BOS @ MIA,W,33,24,13
Grant Williams,BOS,05/19/2022,BOS @ MIA,W,32,19,37
Payton Pritchard,BOS,05/19/2022,BOS @ MIA,W,23,10,39
Dewayne Dedmon,MIA,05/19/2022,MIA vs. BOS,L,13,2,-27
Tyler Herro,MIA,05/19/2022,MIA vs. BOS,L,24,11,-33
Stephen Curry,GSW,05/18/2022,GSW vs. DAL,W,31,21,23
Davis Bertans,DAL,05/18/2022,DAL @ GSW,L,13,0,-5
Trey Burke,DAL,05/18/2022,DAL @ GSW,L,5,7,3
Dwight Powell,DAL,05/18/2022,DAL @ GSW,L,14,3,-8
Kevon Looney,GSW,05/18/2022,GSW vs. DAL,W,28,10,15
Marquese Chriss,DAL,05/18/2022,DAL @ GSW,L,5,0,3
Damion Lee,GSW,05/18/2022,GSW vs. DAL,W,12,3,-5
Dorian Finney-Smith,DAL,05/18/2022,DAL @ GSW,L,34,5,-22
Jalen Brunson,DAL,05/18/2022,DAL @ GSW,L,32,14,-11
