PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Josh Green,DAL,05/18/2022,DAL @ GSW,L,8,2,4
Moses Moody,GSW,05/18/2022,GSW vs. DAL,W,5,3,-3
Sterling Brown,DAL,05/18/2022,DAL @ GSW,L,5,4,3
Juan Toscano-Anderson,GSW,05/18/2022,GSW vs. DAL,W,5,0,-3
Nemanja Bjelica,GSW,05/18/2022,GSW vs. DAL,W,5,0,-3
Reggie Bullock,DAL,05/18/2022,DAL @ GSW,L,36,12,-27
Spencer Dinwiddie,DAL,05/18/2022,DAL @ GSW,L,24,17,-21
Frank Ntilikina,DAL,05/18/2022,DAL @ GSW,L,10,0,-6
Maxi Kleber,DAL,05/18/2022,DAL @ GSW,L,19,3,-8
Luka Doncic,DAL,05/18/2022,DAL @ GSW,L,35,20,-30
Klay Thompson,GSW,05/18/2022,GSW vs. DAL,W,35,15,20
Draymond Green,GSW,05/18/2022,GSW vs. DAL,W,29,10,25
Otto Porter Jr.,GSW,05/18/2022,GSW vs. DAL,W,23,10,16
Andrew Wiggins,GSW,05/18/2022,GSW vs. DAL,W,35,19,28
Jordan Poole,GSW,05/18/2022,GSW vs. DAL,W,26,19,15
Jonathan Kuminga,GSW,05/18/2022,GSW vs. DAL,W,5,2,-3
P.J. Tucker,MIA,05/17/2022,MIA vs. BOS,W,31,5,12
Jayson Tatum,BOS,05/17/2022,BOS @ MIA,L,44,29,-8
Bam Adebayo,MIA,05/17/2022,MIA vs. BOS,W,37,10,-5
Derrick White,BOS,05/17/2022,BOS @ MIA,L,29,3,-11
Daniel Theis,BOS,05/17/2022,BOS @ MIA,L,20,8,-16
Caleb Martin,MIA,05/17/2022,MIA vs. BOS,W,13,5,-3
Gabe Vincent,MIA,05/17/2022,MIA vs. BOS,W,34,17,23
Jimmy Butler,MIA,05/17/2022,MIA vs. BOS,W,41,41,25
Dewayne Dedmon,MIA,05/17/2022,MIA vs. BOS,W,11,6,16
Victor Oladipo,MIA,05/17/2022,MIA vs. BOS,W,15,5,-6
Jaylen Brown,BOS,05/17/2022,BOS @ MIA,L,43,24,-10
Robert Williams III,BOS,05/17/2022,BOS @ MIA,L,28,18,5
Max Strus,MIA,05/17/2022,MIA vs. BOS,W,30,11,-12
Tyler Herro,MIA,05/17/2022,MIA vs. BOS,W,27,18,5
Grant Williams,BOS,05/17/2022,BOS @ MIA,L,35,7,-14
Aaron Nesmith,BOS,05/17/2022,BOS @ MIA,L,11,0,0
Payton Pritchard,BOS,05/17/2022,BOS @ MIA,L,30,18,-1
Bismack Biyombo,PHX,05/15/2022,PHX vs. DAL,L,12,1,-10
Reggie Bullock,DAL,05/15/2022,DAL @ PHX,W,32,5,44
Elfrid Payton,PHX,05/15/2022,PHX vs. DAL,L,5,2,11
Cameron Payne,PHX,05/15/2022,PHX vs. DAL,L,13,5,8
Marquese Chriss,DAL,05/15/2022,DAL @ PHX,W,7,3,-11
Dorian Finney-Smith,DAL,05/15/2022,DAL @ PHX,W,30,5,37
Maxi Kleber,DAL,05/15/2022,DAL @ PHX,W,21,3,20
Torrey Craig,PHX,05/15/2022,PHX vs. DAL,L,4,2,-2
Mikal Bridges,PHX,05/15/2022,PHX vs. DAL,L,33,6,-40
Deandre Ayton,PHX,05/15/2022,PHX vs. DAL,L,17,5,-23
Luka Doncic,DAL,05/15/2022,DAL @ PHX,W,30,35,37
Cameron Johnson,PHX,05/15/2022,PHX vs. DAL,L,20,12,-15
Josh Green,DAL,05/15/2022,DAL @ PHX,W,5,3,-11
Ish Wainright,PHX,05/15/2022,PHX vs. DAL,L,5,10,11
Trey Burke,DAL,05/15/2022,DAL @ PHX,W,5,4,-11
Boban Marjanovic,DAL,05/15/2022,DAL @ PHX,W,3,2,-12
Aaron Holiday,PHX,05/15/2022,PHX vs. DAL,L,5,6,11
Chris Paul,PHX,05/15/2022,PHX vs. DAL,L,31,10,-39
JaVale McGee,PHX,05/15/2022,PHX vs. DAL,L,16,6,7
Jae Crowder,PHX,05/15/2022,PHX vs. DAL,L,27,5,-37
Spencer Dinwiddie,DAL,05/15/2022,DAL @ PHX,W,25,30,29
Dwight Powell,DAL,05/15/2022,DAL @ PHX,W,20,6,24
Devin Booker,PHX,05/15/2022,PHX vs. DAL,L,37,11,-41
Jalen Brunson,DAL,05/15/2022,DAL @ PHX,W,30,24,22
Landry Shamet,PHX,05/15/2022,PHX vs. DAL,L,14,9,-6
Frank Ntilikina,DAL,05/15/2022,DAL @ PHX,W,13,3,5
Sterling Brown,DAL,05/15/2022,DAL @ PHX,W,4,0,-11
Davis Bertans,DAL,05/15/2022,DAL @ PHX,W,14,0,3
George Hill,MIL,05/15/2022,MIL @ BOS,L,11,0,-7
Wesley Matthews,MIL,05/15/2022,MIL @ BOS,L,22,3,-23
Thanasis Antetokounmpo,MIL,05/15/2022,MIL @ BOS,L,2,0,-4
Nik Stauskas,BOS,05/15/2022,BOS vs. MIL,W,2,0,4
Jaylen Brown,BOS,05/15/2022,BOS vs. MIL,W,37,19,15
Derrick White,BOS,05/15/2022,BOS vs. MIL,W,18,3,10
Luke Kornet,BOS,05/15/2022,BOS vs. MIL,W,2,0,4
Daniel Theis,BOS,05/15/2022,BOS vs. MIL,W,6,0,11
Grayson Allen,MIL,05/15/2022,MIL @ BOS,L,22,1,-5
Jevon Carter,MIL,05/15/2022,MIL @ BOS,L,2,0,-4
Jordan Nwora,MIL,05/15/2022,MIL @ BOS,L,2,2,-4
Rayjon Tucker,MIL,05/15/2022,MIL @ BOS,L,2,0,-4
Juwan Morgan,BOS,05/15/2022,BOS vs. MIL,W,1,0,3
Malik Fitts,BOS,05/15/2022,BOS vs. MIL,W,2,3,4
Luca Vildoza,MIL,05/15/2022,MIL @ BOS,L,2,2,-4
Aaron Nesmith,BOS,05/15/2022,BOS vs. MIL,W,2,3,4
Al Horford,BOS,05/15/2022,BOS vs. MIL,W,40,6,13
Marcus Smart,BOS,05/15/2022,BOS vs. MIL,W,37,11,18
Jayson Tatum,BOS,05/15/2022,BOS vs. MIL,W,37,23,15
Grant Williams,BOS,05/15/2022,BOS vs. MIL,W,39,27,25
Payton Pritchard,BOS,05/15/2022,BOS vs. MIL,W,17,14,14
Brook Lopez,MIL,05/15/2022,MIL @ BOS,L,37,15,-20
Jrue Holiday,MIL,05/15/2022,MIL @ BOS,L,41,21,-19
Giannis Antetokounmpo,MIL,05/15/2022,MIL @ BOS,L,43,25,-20
Bobby Portis,MIL,05/15/2022,MIL @ BOS,L,22,10,-9
Pat Connaughton,MIL,05/15/2022,MIL @ BOS,L,32,2,-17
Stephen Curry,GSW,05/13/2022,GSW vs. MEM,W,40,29,16
Nemanja Bjelica,GSW,05/13/2022,GSW vs. MEM,W,8,0,-2
Tyus Jones,MEM,05/13/2022,MEM @ GSW,L,36,7,-14
Dillon Brooks,MEM,05/13/2022,MEM @ GSW,L,39,30,-11
Jaren Jackson Jr.,MEM,05/13/2022,MEM @ GSW,L,38,12,-12
Brandon Clarke,MEM,05/13/2022,MEM @ GSW,L,20,8,-8
Jordan Poole,GSW,05/13/2022,GSW vs. MEM,W,24,12,-3
Draymond Green,GSW,05/13/2022,GSW vs. MEM,W,39,14,19
Klay Thompson,GSW,05/13/2022,GSW vs. MEM,W,42,30,14
Steven Adams,MEM,05/13/2022,MEM @ GSW,L,28,4,-6
Kyle Anderson,MEM,05/13/2022,MEM @ GSW,L,10,0,-2
Andrew Wiggins,GSW,05/13/2022,GSW vs. MEM,W,41,18,20
Kevon Looney,GSW,05/13/2022,GSW vs. MEM,W,35,4,10
Damion Lee,GSW,05/13/2022,GSW vs. MEM,W,11,3,-4
De'Anthony Melton,MEM,05/13/2022,MEM @ GSW,L,11,8,-3
Desmond Bane,MEM,05/13/2022,MEM @ GSW,L,44,25,-7
Ziaire Williams,MEM,05/13/2022,MEM @ GSW,L,13,2,-7
Brook Lopez,MIL,05/13/2022,MIL vs. BOS,L,19,6,-22
Thanasis Antetokounmpo,MIL,05/13/2022,MIL vs. BOS,L,1,1,0
Nik Stauskas,BOS,05/13/2022,BOS @ MIL,W,1,2,1
Bobby Portis,MIL,05/13/2022,MIL vs. BOS,L,29,4,-2
Jaylen Brown,BOS,05/13/2022,BOS @ MIL,W,41,22,2
Jayson Tatum,BOS,05/13/2022,BOS @ MIL,W,43,46,21
Daniel Theis,BOS,05/13/2022,BOS @ MIL,W,10,4,4
Grayson Allen,MIL,05/13/2022,MIL vs. BOS,L,22,3,-29
Jevon Carter,MIL,05/13/2022,MIL vs. BOS,L,1,2,0
Jordan Nwora,MIL,05/13/2022,MIL vs. BOS,L,1,0,0
Rayjon Tucker,MIL,05/13/2022,MIL vs. BOS,L,1,0,0
Aaron Nesmith,BOS,05/13/2022,BOS @ MIL,W,1,0,1
Luca Vildoza,MIL,05/13/2022,MIL vs. BOS,L,1,0,0
Al Horford,BOS,05/13/2022,BOS @ MIL,W,38,2,9
George Hill,MIL,05/13/2022,MIL vs. BOS,L,19,0,-1
Jrue Holiday,MIL,05/13/2022,MIL vs. BOS,L,42,17,-4
Wesley Matthews,MIL,05/13/2022,MIL vs. BOS,L,28,4,-4
Pat Connaughton,MIL,05/13/2022,MIL vs. BOS,L,33,14,2
Derrick White,BOS,05/13/2022,BOS @ MIL,W,30,9,9
Grant Williams,BOS,05/13/2022,BOS @ MIL,W,28,2,9
Payton Pritchard,BOS,05/13/2022,BOS @ MIL,W,7,0,-2
Marcus Smart,BOS,05/13/2022,BOS @ MIL,W,40,21,11
Giannis Antetokounmpo,MIL,05/13/2022,MIL vs. BOS,L,41,44,-5
Bismack Biyombo,PHX,05/12/2022,PHX @ DAL,L,14,4,-13
Jae Crowder,PHX,05/12/2022,PHX @ DAL,L,29,9,-7
Reggie Bullock,DAL,05/12/2022,DAL vs. PHX,W,40,19,15
Trey Burke,DAL,05/12/2022,DAL vs. PHX,W,2,0,4
Cameron Payne,PHX,05/12/2022,PHX @ DAL,L,4,0,-7
Boban Marjanovic,DAL,05/12/2022,DAL vs. PHX,W,2,2,4
Marquese Chriss,DAL,05/12/2022,DAL vs. PHX,W,2,2,4
Frank Ntilikina,DAL,05/12/2022,DAL vs. PHX,W,21,0,9
Sterling Brown,DAL,05/12/2022,DAL vs. PHX,W,3,0,9
Maxi Kleber,DAL,05/12/2022,DAL vs. PHX,W,25,9,11
Jalen Brunson,DAL,05/12/2022,DAL vs. PHX,W,35,18,24
Landry Shamet,PHX,05/12/2022,PHX @ DAL,L,17,2,-14
Deandre Ayton,PHX,05/12/2022,PHX @ DAL,L,30,21,-16
Josh Green,DAL,05/12/2022,DAL vs. PHX,W,3,0,9
Ish Wainright,PHX,05/12/2022,PHX @ DAL,L,4,0,-7
Chris Paul,PHX,05/12/2022,PHX @ DAL,L,36,13,-14
Davis Bertans,DAL,05/12/2022,DAL vs. PHX,W,8,3,-1
Spencer Dinwiddie,DAL,05/12/2022,DAL vs. PHX,W,21,15,2
Dwight Powell,DAL,05/12/2022,DAL vs. PHX,W,17,8,11
Devin Booker,PHX,05/12/2022,PHX @ DAL,L,39,19,-19
Dorian Finney-Smith,DAL,05/12/2022,DAL vs. PHX,W,25,4,19
Torrey Craig,PHX,05/12/2022,PHX @ DAL,L,15,6,-6
Mikal Bridges,PHX,05/12/2022,PHX @ DAL,L,31,7,-18
Luka Doncic,DAL,05/12/2022,DAL vs. PHX,W,35,33,15
Cameron Johnson,PHX,05/12/2022,PHX @ DAL,L,20,5,-14
P.J. Tucker,MIA,05/12/2022,MIA @ PHI,W,39,12,13
Danny Green,PHI,05/12/2022,PHI vs. MIA,L,3,3,0
Dewayne Dedmon,MIA,05/12/2022,MIA @ PHI,W,12,4,-7
Joel Embiid,PHI,05/12/2022,PHI vs. MIA,L,44,20,-6
Georges Niang,PHI,05/12/2022,PHI vs. MIA,L,15,0,11
Furkan Korkmaz,PHI,05/12/2022,PHI vs. MIA,L,8,2,9
Caleb Martin,MIA,05/12/2022,MIA @ PHI,W,5,0,-9
Duncan Robinson,MIA,05/12/2022,MIA @ PHI,W,4,0,-2
Gabe Vincent,MIA,05/12/2022,MIA @ PHI,W,27,7,11
Matisse Thybulle,PHI,05/12/2022,PHI vs. MIA,L,12,3,-15
Isaiah Joe,PHI,05/12/2022,PHI vs. MIA,L,1,2,5
Jaden Springer,PHI,05/12/2022,PHI vs. MIA,L,1,0,5
James Harden,PHI,05/12/2022,PHI vs. MIA,L,43,11,-16
Tobias Harris,PHI,05/12/2022,PHI vs. MIA,L,38,14,-17
Jimmy Butler,MIA,05/12/2022,MIA @ PHI,W,43,32,16
Victor Oladipo,MIA,05/12/2022,MIA @ PHI,W,20,4,-14
Bam Adebayo,MIA,05/12/2022,MIA @ PHI,W,34,10,20
Shake Milton,PHI,05/12/2022,PHI vs. MIA,L,28,15,6
Max Strus,MIA,05/12/2022,MIA @ PHI,W,40,20,23
Tyler Herro,MIA,05/12/2022,MIA @ PHI,W,16,10,-6
Tyrese Maxey,PHI,05/12/2022,PHI vs. MIA,L,42,20,-24
Paul Reed,PHI,05/12/2022,PHI vs. MIA,L,4,0,-3
Stephen Curry,GSW,05/11/2022,GSW @ MEM,L,25,14,-37
Nemanja Bjelica,GSW,05/11/2022,GSW @ MEM,L,20,5,-15
Klay Thompson,GSW,05/11/2022,GSW @ MEM,L,25,19,-45
Draymond Green,GSW,05/11/2022,GSW @ MEM,L,22,5,-32
Otto Porter Jr.,GSW,05/11/2022,GSW @ MEM,L,12,0,-8
Steven Adams,MEM,05/11/2022,MEM vs. GSW,W,22,7,32
Andrew Wiggins,GSW,05/11/2022,GSW @ MEM,L,19,5,-23
Tyus Jones,MEM,05/11/2022,MEM vs. GSW,W,24,21,39
Dillon Brooks,MEM,05/11/2022,MEM vs. GSW,W,24,12,38
Jaren Jackson Jr.,MEM,05/11/2022,MEM vs. GSW,W,25,21,42
De'Anthony Melton,MEM,05/11/2022,MEM vs. GSW,W,24,10,13
Brandon Clarke,MEM,05/11/2022,MEM vs. GSW,W,14,11,20
Jordan Poole,GSW,05/11/2022,GSW @ MEM,L,20,3,-34
Desmond Bane,MEM,05/11/2022,MEM vs. GSW,W,24,21,46
Kyle Anderson,MEM,05/11/2022,MEM vs. GSW,W,19,9,2
Kevon Looney,GSW,05/11/2022,GSW @ MEM,L,16,2,-9
Damion Lee,GSW,05/11/2022,GSW @ MEM,L,24,10,-5
Juan Toscano-Anderson,GSW,05/11/2022,GSW @ MEM,L,16,5,10
Jarrett Culver,MEM,05/11/2022,MEM vs. GSW,W,12,0,-13
John Konchar,MEM,05/11/2022,MEM vs. GSW,W,16,9,-10
Xavier Tillman Sr.,MEM,05/11/2022,MEM vs. GSW,W,12,2,-13
Jonathan Kuminga,GSW,05/11/2022,GSW @ MEM,L,24,17,-5
Ziaire Williams,MEM,05/11/2022,MEM vs. GSW,W,23,11,-1
Moses Moody,GSW,05/11/2022,GSW @ MEM,L,17,10,8
Brook Lopez,MIL,05/11/2022,MIL @ BOS,W,20,2,-3
Jrue Holiday,MIL,05/11/2022,MIL @ BOS,W,41,24,14
Marcus Smart,BOS,05/11/2022,BOS vs. MIL,L,38,15,-6
Pat Connaughton,MIL,05/11/2022,MIL @ BOS,W,31,13,-1
Jaylen Brown,BOS,05/11/2022,BOS vs. MIL,L,35,26,-7
Daniel Theis,BOS,05/11/2022,BOS vs. MIL,L,11,11,7
Al Horford,BOS,05/11/2022,BOS vs. MIL,L,41,8,-5
George Hill,MIL,05/11/2022,MIL @ BOS,W,13,0,-15
Wesley Matthews,MIL,05/11/2022,MIL @ BOS,W,37,9,6
Giannis Antetokounmpo,MIL,05/11/2022,MIL @ BOS,W,40,40,7
Bobby Portis,MIL,05/11/2022,MIL @ BOS,W,28,14,2
Jayson Tatum,BOS,05/11/2022,BOS vs. MIL,L,42,34,-4
Derrick White,BOS,05/11/2022,BOS vs. MIL,L,32,9,8
Grayson Allen,MIL,05/11/2022,MIL @ BOS,W,30,8,5
Grant Williams,BOS,05/11/2022,BOS vs. MIL,L,31,0,-11
Payton Pritchard,BOS,05/11/2022,BOS vs. MIL,L,10,4,3
JaVale McGee,PHX,05/10/2022,PHX vs. DAL,W,3,0,1
Jae Crowder,PHX,05/10/2022,PHX vs. DAL,W,27,3,1
Spencer Dinwiddie,DAL,05/10/2022,DAL @ PHX,L,16,2,-6
Dwight Powell,DAL,05/10/2022,DAL @ PHX,L,8,0,-4
Devin Booker,PHX,05/10/2022,PHX vs. DAL,W,35,28,25
Cameron Payne,PHX,05/10/2022,PHX vs. DAL,W,4,0,11
Frank Ntilikina,DAL,05/10/2022,DAL @ PHX,L,13,3,-11
Sterling Brown,DAL,05/10/2022,DAL @ PHX,L,5,0,-11
Maxi Kleber,DAL,05/10/2022,DAL @ PHX,L,24,4,-22
Mikal Bridges,PHX,05/10/2022,PHX vs. DAL,W,34,14,23
Deandre Ayton,PHX,05/10/2022,PHX vs. DAL,W,22,20,11
Josh Green,DAL,05/10/2022,DAL @ PHX,L,5,0,-11
Marquese Chriss,DAL,05/10/2022,DAL @ PHX,L,5,2,-11
Trey Burke,DAL,05/10/2022,DAL @ PHX,L,5,2,-11
Torrey Craig,PHX,05/10/2022,PHX vs. DAL,W,4,6,11
Aaron Holiday,PHX,05/10/2022,PHX vs. DAL,W,4,3,11
Davis Bertans,DAL,05/10/2022,DAL @ PHX,L,19,10,1
Reggie Bullock,DAL,05/10/2022,DAL @ PHX,L,35,0,-19
Dorian Finney-Smith,DAL,05/10/2022,DAL @ PHX,L,37,8,-16
Jalen Brunson,DAL,05/10/2022,DAL @ PHX,L,35,21,-12
Luka Doncic,DAL,05/10/2022,DAL @ PHX,L,35,28,-17
Chris Paul,PHX,05/10/2022,PHX vs. DAL,W,35,7,7
Landry Shamet,PHX,05/10/2022,PHX vs. DAL,W,19,8,4
Cameron Johnson,PHX,05/10/2022,PHX vs. DAL,W,25,14,15
Ish Wainright,PHX,05/10/2022,PHX vs. DAL,W,7,0,10
Bismack Biyombo,PHX,05/10/2022,PHX vs. DAL,W,21,7,20
P.J. Tucker,MIA,05/10/2022,MIA vs. PHI,W,31,10,16
Danny Green,PHI,05/10/2022,PHI @ MIA,L,21,6,-18
Tobias Harris,PHI,05/10/2022,PHI @ MIA,L,33,12,-27
Dewayne Dedmon,MIA,05/10/2022,MIA vs. PHI,W,12,2,7
Furkan Korkmaz,PHI,05/10/2022,PHI @ MIA,L,8,6,-6
Caleb Martin,MIA,05/10/2022,MIA vs. PHI,W,11,2,0
Shake Milton,PHI,05/10/2022,PHI @ MIA,L,20,9,-3
Duncan Robinson,MIA,05/10/2022,MIA vs. PHI,W,14,4,5
Gabe Vincent,MIA,05/10/2022,MIA vs. PHI,W,28,15,20
Haywood Highsmith,MIA,05/10/2022,MIA vs. PHI,W,7,6,6
Charles Bassey,PHI,05/10/2022,PHI @ MIA,L,7,0,-6
Paul Reed,PHI,05/10/2022,PHI @ MIA,L,16,7,-9
Omer Yurtseven,MIA,05/10/2022,MIA vs. PHI,W,8,4,6
Jaden Springer,PHI,05/10/2022,PHI @ MIA,L,7,2,-7
Jimmy Butler,MIA,05/10/2022,MIA vs. PHI,W,35,23,36
Victor Oladipo,MIA,05/10/2022,MIA vs. PHI,W,18,13,11
Bam Adebayo,MIA,05/10/2022,MIA vs. PHI,W,28,12,22
Max Strus,MIA,05/10/2022,MIA vs. PHI,W,28,19,30
Tyler Herro,MIA,05/10/2022,MIA vs. PHI,W,22,10,16
James Harden,PHI,05/10/2022,PHI @ MIA,L,37,14,-29
Joel Embiid,PHI,05/10/2022,PHI @ MIA,L,33,17,-29
Georges Niang,PHI,05/10/2022,PHI @ MIA,L,16,0,-1
Matisse Thybulle,PHI,05/10/2022,PHI @ MIA,L,11,3,-15
Tyrese Maxey,PHI,05/10/2022,PHI @ MIA,L,32,9,-25
Stephen Curry,GSW,05/09/2022,GSW vs. MEM,W,38,32,6
Draymond Green,GSW,05/09/2022,GSW vs. MEM,W,33,2,6
Andrew Wiggins,GSW,05/09/2022,GSW vs. MEM,W,39,17,12
Dillon Brooks,MEM,05/09/2022,MEM @ GSW,L,39,12,-5
De'Anthony Melton,MEM,05/09/2022,MEM @ GSW,L,9,0,3
Brandon Clarke,MEM,05/09/2022,MEM @ GSW,L,12,4,-6
Jonathan Kuminga,GSW,05/09/2022,GSW vs. MEM,W,5,0,-5
Klay Thompson,GSW,05/09/2022,GSW vs. MEM,W,38,14,-3
Kevon Looney,GSW,05/09/2022,GSW vs. MEM,W,15,8,-3
Steven Adams,MEM,05/09/2022,MEM @ GSW,L,27,10,13
Tyus Jones,MEM,05/09/2022,MEM @ GSW,L,41,19,-9
Jaren Jackson Jr.,MEM,05/09/2022,MEM @ GSW,L,34,21,-2
Desmond Bane,MEM,05/09/2022,MEM @ GSW,L,37,8,8
Ziaire Williams,MEM,05/09/2022,MEM @ GSW,L,18,7,-10
Jordan Poole,GSW,05/09/2022,GSW vs. MEM,W,32,14,5
Otto Porter Jr.,GSW,05/09/2022,GSW vs. MEM,W,26,12,4
Damion Lee,GSW,05/09/2022,GSW vs. MEM,W,13,2,-7
Kyle Anderson,MEM,05/09/2022,MEM @ GSW,L,23,17,-7
Brook Lopez,MIL,05/09/2022,MIL vs. BOS,L,29,17,-7
Wesley Matthews,MIL,05/09/2022,MIL vs. BOS,L,29,12,7
Thanasis Antetokounmpo,MIL,05/09/2022,MIL vs. BOS,L,1,0,2
Bobby Portis,MIL,05/09/2022,MIL vs. BOS,L,15,4,-6
Jaylen Brown,BOS,05/09/2022,BOS @ MIL,W,32,18,5
Daniel Theis,BOS,05/09/2022,BOS @ MIL,W,11,0,-10
Jevon Carter,MIL,05/09/2022,MIL vs. BOS,L,1,0,2
Jordan Nwora,MIL,05/09/2022,MIL vs. BOS,L,1,0,2
Grant Williams,BOS,05/09/2022,BOS @ MIL,W,25,9,-17
Rayjon Tucker,MIL,05/09/2022,MIL vs. BOS,L,1,2,2
Luca Vildoza,MIL,05/09/2022,MIL vs. BOS,L,1,0,2
Al Horford,BOS,05/09/2022,BOS @ MIL,W,42,30,20
George Hill,MIL,05/09/2022,MIL vs. BOS,L,23,5,-6
Jrue Holiday,MIL,05/09/2022,MIL vs. BOS,L,41,16,-23
Giannis Antetokounmpo,MIL,05/09/2022,MIL vs. BOS,L,41,34,1
Marcus Smart,BOS,05/09/2022,BOS @ MIL,W,41,18,1
Pat Connaughton,MIL,05/09/2022,MIL vs. BOS,L,30,11,-6
Jayson Tatum,BOS,05/09/2022,BOS @ MIL,W,42,30,9
Derrick White,BOS,05/09/2022,BOS @ MIL,W,34,11,18
Grayson Allen,MIL,05/09/2022,MIL vs. BOS,L,29,7,-10
Payton Pritchard,BOS,05/09/2022,BOS @ MIL,W,13,0,14
P.J. Tucker,MIA,05/08/2022,MIA @ PHI,L,25,7,-7
Danny Green,PHI,05/08/2022,PHI vs. MIA,W,24,11,6
Markieff Morris,MIA,05/08/2022,MIA @ PHI,L,3,0,2
Jimmy Butler,MIA,05/08/2022,MIA @ PHI,L,42,40,-2
Joel Embiid,PHI,05/08/2022,PHI vs. MIA,W,38,24,5
Caleb Martin,MIA,05/08/2022,MIA @ PHI,L,0,0,-2
Shake Milton,PHI,05/08/2022,PHI vs. MIA,W,13,2,-3
Max Strus,MIA,05/08/2022,MIA @ PHI,L,30,6,2
Matisse Thybulle,PHI,05/08/2022,PHI vs. MIA,W,15,5,-1
Kyle Lowry,MIA,05/08/2022,MIA @ PHI,L,30,6,-1
James Harden,PHI,05/08/2022,PHI vs. MIA,W,41,31,8
Tobias Harris,PHI,05/08/2022,PHI vs. MIA,W,35,13,4
Victor Oladipo,MIA,05/08/2022,MIA @ PHI,L,32,15,-12
Georges Niang,PHI,05/08/2022,PHI vs. MIA,W,21,10,5
Bam Adebayo,MIA,05/08/2022,MIA @ PHI,L,33,21,-5
Gabe Vincent,MIA,05/08/2022,MIA @ PHI,L,10,2,-6
Tyler Herro,MIA,05/08/2022,MIA @ PHI,L,34,11,-9
Tyrese Maxey,PHI,05/08/2022,PHI vs. MIA,W,42,18,13
Paul Reed,PHI,05/08/2022,PHI vs. MIA,W,10,2,3
Chris Paul,PHX,05/08/2022,PHX @ DAL,L,23,5,-3
JaVale McGee,PHX,05/08/2022,PHX @ DAL,L,10,7,1
Bismack Biyombo,PHX,05/08/2022,PHX @ DAL,L,5,2,7
Jae Crowder,PHX,05/08/2022,PHX @ DAL,L,36,15,-16
Reggie Bullock,DAL,05/08/2022,DAL vs. PHX,W,39,7,9
Spencer Dinwiddie,DAL,05/08/2022,DAL vs. PHX,W,19,10,-2
Dwight Powell,DAL,05/08/2022,DAL vs. PHX,W,10,0,-4
Cameron Payne,PHX,05/08/2022,PHX @ DAL,L,16,2,-1
Marquese Chriss,DAL,05/08/2022,DAL vs. PHX,W,1,0,-4
Frank Ntilikina,DAL,05/08/2022,DAL vs. PHX,W,9,3,4
Sterling Brown,DAL,05/08/2022,DAL vs. PHX,W,1,0,-4
Deandre Ayton,PHX,05/08/2022,PHX @ DAL,L,33,14,-15
Josh Green,DAL,05/08/2022,DAL vs. PHX,W,1,0,-4
Ish Wainright,PHX,05/08/2022,PHX @ DAL,L,2,0,4
Luka Doncic,DAL,05/08/2022,DAL vs. PHX,W,37,26,15
Dorian Finney-Smith,DAL,05/08/2022,DAL vs. PHX,W,38,24,11
Landry Shamet,PHX,05/08/2022,PHX @ DAL,L,9,2,1
Aaron Holiday,PHX,05/08/2022,PHX @ DAL,L,2,2,4
Davis Bertans,DAL,05/08/2022,DAL vs. PHX,W,13,12,-3
Devin Booker,PHX,05/08/2022,PHX @ DAL,L,43,35,-12
Maxi Kleber,DAL,05/08/2022,DAL vs. PHX,W,34,11,17
Mikal Bridges,PHX,05/08/2022,PHX @ DAL,L,32,6,-7
Jalen Brunson,DAL,05/08/2022,DAL vs. PHX,W,38,18,15
Cameron Johnson,PHX,05/08/2022,PHX @ DAL,L,30,11,-13
Stephen Curry,GSW,05/07/2022,GSW vs. MEM,W,35,30,21
Nemanja Bjelica,GSW,05/07/2022,GSW vs. MEM,W,4,0,4
Draymond Green,GSW,05/07/2022,GSW vs. MEM,W,27,5,19
Steven Adams,MEM,05/07/2022,MEM @ GSW,L,6,3,-7
Andrew Wiggins,GSW,05/07/2022,GSW vs. MEM,W,26,17,3
Kevon Looney,GSW,05/07/2022,GSW vs. MEM,W,17,6,7
De'Anthony Melton,MEM,05/07/2022,MEM @ GSW,L,27,12,-16
Juan Toscano-Anderson,GSW,05/07/2022,GSW vs. MEM,W,5,0,-1
Jarrett Culver,MEM,05/07/2022,MEM @ GSW,L,6,5,-7
Brandon Clarke,MEM,05/07/2022,MEM @ GSW,L,17,4,-24
John Konchar,MEM,05/07/2022,MEM @ GSW,L,9,0,-15
Jonathan Kuminga,GSW,05/07/2022,GSW vs. MEM,W,18,18,-2
Moses Moody,GSW,05/07/2022,GSW vs. MEM,W,4,5,4
Otto Porter Jr.,GSW,05/07/2022,GSW vs. MEM,W,24,13,30
Kyle Anderson,MEM,05/07/2022,MEM @ GSW,L,16,9,-3
Tyus Jones,MEM,05/07/2022,MEM @ GSW,L,13,2,-16
Damion Lee,GSW,05/07/2022,GSW vs. MEM,W,15,0,10
Jaren Jackson Jr.,MEM,05/07/2022,MEM @ GSW,L,29,15,-14
Jordan Poole,GSW,05/07/2022,GSW vs. MEM,W,31,27,33
Klay Thompson,GSW,05/07/2022,GSW vs. MEM,W,35,21,22
Desmond Bane,MEM,05/07/2022,MEM @ GSW,L,30,16,-15
Ziaire Williams,MEM,05/07/2022,MEM @ GSW,L,30,7,-15
Xavier Tillman Sr.,MEM,05/07/2022,MEM @ GSW,L,22,5,-12
Ja Morant,MEM,05/07/2022,MEM @ GSW,L,36,34,-6
